year,round,driver,quali_gap
2016,5,vettel,1.3340000000000032
2016,5,wehrlein,3.745000000000005
2016,6,alonso,1.4849999999999994
2016,6,bottas,1.6509999999999962
2016,6,button,1.730000000000004
2016,6,ericsson,2.6770000000000067
2016,6,grosjean,1.8430000000000035
2016,6,gutierrez,1.6710000000000065
2016,6,hamilton,0.3200000000000074
2016,6,haryanto,3.673000000000002
2016,6,hulkenberg,1.1039999999999992
2016,6,jolyon_palmer,2.963999999999998
2016,6,kevin_magnussen,2.435999999999993
2016,6,kvyat,1.171999999999997
2016,6,massa,1.7630000000000052
2016,6,max_verstappen,8.844999999999999
2016,6,perez,1.2800000000000011
2016,6,raikkonen,1.1099999999999994
2016,6,ricciardo,0.0
2016,6,rosberg,0.1689999999999969
2016,6,sainz,1.1269999999999951
2016,6,vettel,0.695999999999998
2016,6,wehrlein,3.8299999999999983
2016,7,alonso,1.4480000000000075
2016,7,bottas,0.8580000000000041
2016,7,button,1.625
2016,7,ericsson,2.8230000000000075
2016,7,grosjean,1.991
2016,7,gutierrez,1.7590000000000003
2016,7,hamilton,0.0
2016,7,haryanto,4.239999999999995
2016,7,hulkenberg,1.1400000000000006
2016,7,jolyon_palmer,2.6470000000000056
2016,7,kvyat,1.644999999999996
2016,7,massa,0.9570000000000078
2016,7,max_verstappen,0.6020000000000039
2016,7,nasr,3.850999999999999
2016,7,perez,1.5050000000000097
2016,7,raikkonen,0.7670000000000101
2016,7,ricciardo,0.3539999999999992
2016,7,rosberg,0.0619999999999976
2016,7,sainz,1.902000000000001
2016,7,vettel,0.1779999999999972
2016,7,wehrlein,2.787000000000006
2016,8,alonso,2.75
2016,8,bottas,1.9569999999999936
2016,8,button,3.283999999999992
2016,8,ericsson,3.710999999999984
2016,8,grosjean,2.234999999999985
2016,8,gutierrez,2.779999999999987
2016,8,hamilton,1.0060000000000002
2016,8,haryanto,3.144999999999982
2016,8,hulkenberg,2.303999999999988
2016,8,jolyon_palmer,3.8739999999999952
2016,8,kevin_magnussen,3.8279999999999887
2016,8,kvyat,2.1669999999999874
2016,8,massa,1.962999999999994
2016,8,max_verstappen,1.8669999999999904
2016,8,nasr,3.0289999999999964
2016,8,perez,0.9949999999999904
2016,8,raikkonen,1.7489999999999952
2016,8,ricciardo,1.445999999999998
2016,8,rosberg,0.0
2016,8,sainz,2.306999999999988
2016,8,vettel,1.445999999999998
2016,8,wehrlein,3.2299999999999898
2016,9,alonso,1.443000000000012
2016,9,bottas,0.6830000000000069
2016,9,button,1.3440000000000083
2016,9,ericsson,2.190000000000012
2016,9,grosjean,1.4340000000000117
2016,9,gutierrez,1.3500000000000083
2016,9,hamilton,0.0
2016,9,haryanto,1.7980000000000018
2016,9,hulkenberg,1.0290000000000106
2016,9,jolyon_palmer,1.737000000000009
2016,9,kevin_magnussen,1.713000000000008
2016,9,kvyat,2.181000000000012
2016,9,massa,0.9170000000000016
2016,9,max_verstappen,0.6380000000000052
2016,9,nasr,2.2180000000000035
2016,9,perez,1.429000000000002
2016,9,raikkonen,0.7120000000000033
2016,9,ricciardo,0.612000000000009
2016,9,rosberg,0.1750000000000113
2016,9,sainz,1.3900000000000006
2016,9,vettel,0.3740000000000094
2016,9,wehrlein,1.3370000000000033
2016,10,alonso,2.497
2016,10,bottas,2.2350000000000136
2016,10,button,3.5450000000000017
2016,10,grosjean,2.807000000000002
2016,10,gutierrez,2.994
2016,10,hamilton,0.0
2016,10,haryanto,3.855000000000004
